provincia,variazione_percentuale,data
Palermo,600,2020-03-07
Palermo,1700,2020-03-23
Caserta,0,2020-03-07
Caserta,300,2020-03-23
Napoli,1700,2020-03-07
Napoli,1100,2020-03-23
Lecce,400,2020-03-07
Lecce,1300,2020-03-23
Teramo,400,2020-03-07
Teramo,3000,2020-03-23
Catania,2300,2020-03-07
Catania,1000,2020-03-23
Bari,500,2020-03-07
Bari,5200,2020-03-23
Vibo Valentia,0,2020-03-07
Vibo Valentia,2000,2020-03-23
